,000032.SH,000033.SH,000034.SH,000035.SH,000036.SH,000037.SH,000038.SH,000039.SH,000040.SH,000041.SH,H00032.SH,H00033.SH,H00034.SH,H00035.SH,H00036.SH,H00037.SH,H00038.SH,H00039.SH,H00040.SH,H00041.SH
2009/8/20,2965.379,2280.633,2140.198,1778.108,3302.712,2278.037,3598.591,1705.479,1970.984,1923.776,0,0,0,0,0,0,0,0,0,0
2009/8/21,3159.386,2380.698,2222.258,1848.617,3399.91,2335.803,3758.709,1775.515,2039.697,2005.504,0,0,0,0,0,0,0,0,0,0
2009/8/24,3251.194,2442.711,2259.115,1892.382,3512.295,2394.05,3804.339,1835.33,2072.799,2051.703,0,0,0,0,0,0,0,0,0,0
2009/8/25,3329.767,2480.209,2275.111,1934.533,3576.922,2514.561,3780.514,1865.69,2085.038,2047.476,0,0,0,0,0,0,0,0,0,0
2009/8/26,3248.488,2364.827,2201.557,1935.995,3537.451,2499.957,3572.968,1898.679,2023.19,1998.411,0,0,0,0,0,0,0,0,0,0
2009/8/27,3272.765,2409.216,2275.587,2015.887,3647.703,2550.261,3607.817,1937.992,2081.988,2038.483,0,0,0,0,0,0,0,0,0,0
2009/8/28,3212.276,2397.888,2281.602,2015.04,3697.184,2622.924,3576.861,1943.728,2165.76,2061.807,0,0,0,0,0,0,0,0,0,0
2009/8/31,3068.753,2324.79,2232.038,1964.718,3628.852,2534.4,3425.925,1883.777,2123.174,2002.524,0,0,0,0,0,0,0,0,0,0
2009/9/1,2791.588,2130.213,2077.574,1834.842,3407.704,2404.864,3201.824,1774.005,1971.566,1852.68,0,0,0,0,0,0,0,0,0,0
2009/9/2,2778.808,2090.413,2068.125,1819.668,3404.102,2396.571,3280.478,1753.879,2031.464,1836.667,0,0,0,0,0,0,0,0,0,0
2009/9/3,2847.896,2105.326,2078.375,1840.299,3395.486,2411.539,3382.661,1760.212,2018.08,1856.248,0,0,0,0,0,0,0,0,0,0
2009/9/4,3024.005,2272.587,2178.609,1930.528,3521.388,2476.805,3557.859,1832.847,2085.409,1932.286,0,0,0,0,0,0,0,0,0,0
2009/9/7,3025.632,2303.15,2191.244,1968.077,3583.374,2558.446,3572.225,1866.498,2091.815,1961.113,0,0,0,0,0,0,0,0,0,0
2009/9/8,3030.724,2336.7,2206.744,1987.413,3671.892,2632.576,3593.404,1886.404,2113.638,1981.678,0,0,0,0,0,0,0,0,0,0
2009/9/9,3128.099,2405.507,2245.622,2039.123,3724.276,2625.575,3659.013,1902.391,2142.366,2006.642,0,0,0,0,0,0,0,0,0,0
2009/9/10,3164.369,2465.252,2277.258,2046.61,3698.141,2610.367,3658.092,1905.523,2140.879,2004.747,0,0,0,0,0,0,0,0,0,0
2009/9/11,3131.206,2431.467,2254.725,2009.225,3691.834,2570.9,3629.268,1890.274,2140.587,1978.279,0,0,0,0,0,0,0,0,0,0
2009/9/14,3196.615,2456.848,2278.269,2042.173,3724.686,2623.684,3785.457,1935.319,2188.891,2024.875,0,0,0,0,0,0,0,0,0,0
2009/9/15,3233.834,2491.112,2317.343,2086.162,3808.295,2666.801,3830.976,2012.46,2236.681,2070.441,0,0,0,0,0,0,0,0,0,0
2009/9/16,3265.772,2537.113,2318.093,2094.904,3807.606,2669.111,3818.746,2033.189,2238.2,2090.704,0,0,0,0,0,0,0,0,0,0
2009/9/17,3227.537,2547.419,2283.807,2095.819,3771.61,2656.355,3726.428,2090.716,2224.831,2073.069,0,0,0,0,0,0,0,0,0,0
2009/9/18,3288.577,2584.25,2338.423,2155.827,3827.609,2685.316,3794.933,2193.995,2309.955,2117.479,0,0,0,0,0,0,0,0,0,0
